year,country,continent,pop,smoke_pct,lung_cancer_pct,pollution
1990,United Arab Emirates,Asia,1828437,17.1947976,0.017811503186237,43.1190912
1990,United Kingdom,Europe,57247586,32.5879913,0.067194821839636,16.58562429
1990,United Republic of Tanzania,Africa,25203848,16.188454099999998,0.00778253743325775,21.22095431
1990,United States of America,North America,249623000,26.5693077,0.099047756170792,12.78280811
1990,Uruguay,South America,3109598,34.082676299999996,0.050348154990491,9.970113182
1990,Uzbekistan,Asia,20510000,9.5472688,0.020671445547006,32.41841349
1990,Vanuatu,Oceania,146575,25.714545500000003,0.019813266291244,10.93134528
1990,Venezuela,South America,19632665,26.2337719,0.019995981047633,18.94545596
1990,Vietnam,Asia,67988855,29.4386182,0.02164964665936,25.62256417
1990,Yemen,Asia,11709987,20.8063418,0.00929535445754617,45.46989123
1990,Zambia,Africa,8036849,15.6809658,0.00934273311182282,25.65327388
1990,Zimbabwe,Africa,10432409,18.1278032,0.013367449661093,23.43544798
