Metric,Year,Value
Total tetanus - number of reported cases,2002,95
Total tetanus - number of reported cases,2005,56
Total tetanus - number of reported cases,2007,52
Total tetanus - number of reported cases,2008,30
Total tetanus - number of reported cases,2009,9
Total tetanus - number of reported cases,2010,7
Total tetanus - number of reported cases,2012,2
Total tetanus - number of reported cases,2013,1
Total tetanus - number of reported cases,2014,36
Total tetanus - number of reported cases,2015,32
Total tetanus - number of reported cases,2016,2776
Total tetanus - number of reported cases,2018,0
Total tetanus - number of reported cases,2019,0
Total tetanus - number of reported cases,2020,3260
Yellow fever - number of reported cases,1992,27
Yellow fever - number of reported cases,1993,27
Yellow fever - number of reported cases,1994,7
Yellow fever - number of reported cases,1995,11
Yellow fever - number of reported cases,1996,0
Yellow fever - number of reported cases,1997,0
Yellow fever - number of reported cases,1998,0
Yellow fever - number of reported cases,2000,0
Yellow fever - number of reported cases,2001,0
Yellow fever - number of reported cases,2002,0
Yellow fever - number of reported cases,2003,0
Yellow fever - number of reported cases,2004,0
Yellow fever - number of reported cases,2005,0
Yellow fever - number of reported cases,2006,0
Yellow fever - number of reported cases,2007,0
Yellow fever - number of reported cases,2008,0
Yellow fever - number of reported cases,2010,0
Yellow fever - number of reported cases,2011,0
Yellow fever - number of reported cases,2012,0
Yellow fever - number of reported cases,2013,0
Yellow fever - number of reported cases,2014,0
Yellow fever - number of reported cases,2015,0
Yellow fever - number of reported cases,2016,3
Yellow fever - number of reported cases,2017,0
Yellow fever - number of reported cases,2018,0
Yellow fever - number of reported cases,2019,0
Yellow fever - number of reported cases,2020,0
Mumps - number of reported cases,2000,30468
Mumps - number of reported cases,2002,8831
Mumps - number of reported cases,2003,0
Mumps - number of reported cases,2011,0
Mumps - number of reported cases,2012,0
Mumps - number of reported cases,2016,80960
Mumps - number of reported cases,2020,53386
Congenital Rubella Syndrome - number of reported cases,2011,0
Congenital Rubella Syndrome - number of reported cases,2012,0
Neonatal tetanus - number of reported cases,1982,497
Neonatal tetanus - number of reported cases,1985,17
Neonatal tetanus - number of reported cases,1986,23
Neonatal tetanus - number of reported cases,1990,1612
Neonatal tetanus - number of reported cases,1993,8
Neonatal tetanus - number of reported cases,1994,50
Neonatal tetanus - number of reported cases,1995,30
Neonatal tetanus - number of reported cases,1996,23
Neonatal tetanus - number of reported cases,1997,27
Neonatal tetanus - number of reported cases,1998,71
Neonatal tetanus - number of reported cases,1999,259
Neonatal tetanus - number of reported cases,2000,1278
Neonatal tetanus - number of reported cases,2001,132
Neonatal tetanus - number of reported cases,2002,95
Neonatal tetanus - number of reported cases,2003,41
Neonatal tetanus - number of reported cases,2004,78
Neonatal tetanus - number of reported cases,2005,56
Neonatal tetanus - number of reported cases,2006,38
Neonatal tetanus - number of reported cases,2007,52
Neonatal tetanus - number of reported cases,2008,30
Neonatal tetanus - number of reported cases,2009,9
Neonatal tetanus - number of reported cases,2010,7
Neonatal tetanus - number of reported cases,2012,2
Neonatal tetanus - number of reported cases,2013,1
Neonatal tetanus - number of reported cases,2014,36
Neonatal tetanus - number of reported cases,2015,32
Neonatal tetanus - number of reported cases,2016,317
Neonatal tetanus - number of reported cases,2020,0
Total rubella - number of reported cases,2001,204
Total rubella - number of reported cases,2003,811
Total rubella - number of reported cases,2004,1068
Total rubella - number of reported cases,2005,341
Total rubella - number of reported cases,2006,517
Total rubella - number of reported cases,2007,387
Total rubella - number of reported cases,2008,1280
Total rubella - number of reported cases,2009,1305
Total rubella - number of reported cases,2010,473
Total rubella - number of reported cases,2011,610
Total rubella - number of reported cases,2013,299
Total rubella - number of reported cases,2014,651
Total rubella - number of reported cases,2015,422
Total rubella - number of reported cases,2016,331
Total rubella - number of reported cases,2017,14
Total rubella - number of reported cases,2018,24
Total rubella - number of reported cases,2019,66
Total rubella - number of reported cases,2020,21
Measles - number of reported cases,1974,38885
Measles - number of reported cases,1975,33868
Measles - number of reported cases,1976,34649
Measles - number of reported cases,1977,48758
Measles - number of reported cases,1978,41572
Measles - number of reported cases,1979,66792
Measles - number of reported cases,1980,28473
Measles - number of reported cases,1981,257839
Measles - number of reported cases,1982,270767
Measles - number of reported cases,1983,285681
Measles - number of reported cases,1984,200143
Measles - number of reported cases,1985,111492
Measles - number of reported cases,1986,26199
Measles - number of reported cases,1987,49858
Measles - number of reported cases,1988,70200
Measles - number of reported cases,1989,86727
Measles - number of reported cases,1990,77072
Measles - number of reported cases,1991,59937
Measles - number of reported cases,1992,65004
Measles - number of reported cases,1993,961
Measles - number of reported cases,1994,4180
Measles - number of reported cases,1995,3322
Measles - number of reported cases,1996,3572
Measles - number of reported cases,1997,3339
Measles - number of reported cases,1998,9262
Measles - number of reported cases,1999,8601
Measles - number of reported cases,2000,21002
Measles - number of reported cases,2001,11304
Measles - number of reported cases,2002,766
Measles - number of reported cases,2003,65
Measles - number of reported cases,2004,20
Measles - number of reported cases,2005,153
Measles - number of reported cases,2006,1847
Measles - number of reported cases,2007,1516
Measles - number of reported cases,2008,1282
Measles - number of reported cases,2009,1218
Measles - number of reported cases,2010,95
Measles - number of reported cases,2011,2395
Measles - number of reported cases,2013,190
Measles - number of reported cases,2014,354
Measles - number of reported cases,2015,95
Measles - number of reported cases,2016,128
Measles - number of reported cases,2017,63
Measles - number of reported cases,2018,822
Measles - number of reported cases,2019,439
Measles - number of reported cases,2020,597
